flower_name,color,petal_count,bloom_season,average_height,sunlight_requirement,watering_frequency,bloom_color,height_cm
Ced,Violet,72,Winter,35.31,Partial Sun,Weekly,White,176
Tersina,Teal,55,Fall,42.11,Shade,Daily,Purple,71
Happy,Crimson,33,Winter,25.0,Full Sun,Daily,Yellow,181
Karita,Aquamarine,9,Spring,41.67,Partial Sun,Bi-weekly,Red,15
Saul,Goldenrod,90,Fall,56.45,Full Sun,Daily,Yellow,157
Vera,Turquoise,59,Summer,19.7,Shade,Daily,Red,158
Susette,Fuscia,58,Summer,9.97,Full Sun,Weekly,Pink,77
Sisile,Teal,32,Summer,46.82,Partial Sun,Bi-weekly,Purple,40
Melania,Green,86,Winter,51.61,Full Sun,Bi-weekly,Yellow,20
Robby,Goldenrod,57,Spring,50.32,Partial Sun,Weekly,White,68
Nanette,Pink,20,Spring,38.96,Full Sun,Daily,Yellow,68
Berkeley,Orange,7,Summer,34.55,Full Sun,Weekly,White,139
Sig,Maroon,54,Spring,19.8,Partial Sun,Weekly,Red,37
Amelie,Crimson,72,Summer,14.36,Partial Sun,Weekly,Pink,87
Giustina,Mauv,81,Summer,31.69,Partial Sun,Daily,Yellow,182
Kelli,Maroon,5,Winter,44.95,Shade,Daily,Red,113
Carlo,Crimson,100,Fall,50.82,Full Sun,Daily,Purple,132
Georges,Violet,85,Summer,34.48,Shade,Daily,Red,187
Jessalyn,Indigo,44,Spring,28.21,Partial Sun,Weekly,Pink,34
Edin,Teal,18,Spring,47.37,Full Sun,Daily,Purple,34
Corabella,Crimson,78,Fall,16.58,Shade,Weekly,Pink,33
Bernadette,Pink,80,Winter,24.21,Full Sun,Bi-weekly,White,190
Kendre,Orange,49,Winter,36.81,Shade,Bi-weekly,Purple,75
Morly,Violet,55,Fall,49.01,Shade,Daily,Pink,126
Krystle,Violet,44,Winter,45.68,Shade,Bi-weekly,Yellow,78
Porty,Indigo,15,Spring,19.86,Full Sun,Daily,Purple,75
Brinna,Mauv,23,Fall,12.44,Partial Sun,Weekly,Yellow,84
Raffaello,Pink,78,Summer,51.74,Shade,Daily,Purple,117
Silvio,Crimson,92,Fall,34.82,Full Sun,Daily,White,32
Costa,Red,39,Summer,9.31,Full Sun,Bi-weekly,White,159
Gwendolyn,Aquamarine,87,Spring,17.9,Shade,Weekly,Yellow,32
Darrin,Fuscia,36,Winter,41.39,Shade,Weekly,Pink,187
Crissie,Pink,15,Summer,51.9,Partial Sun,Bi-weekly,White,70
Eward,Green,87,Winter,41.38,Partial Sun,Weekly,Red,11
Gibby,Maroon,15,Fall,33.01,Full Sun,Weekly,Yellow,189
Bridie,Aquamarine,67,Summer,23.15,Partial Sun,Bi-weekly,Pink,30
Pat,Maroon,79,Fall,49.33,Shade,Bi-weekly,Red,138
Roberta,Maroon,33,Winter,38.27,Shade,Weekly,Yellow,158
Junie,Orange,16,Fall,39.92,Full Sun,Daily,Pink,171
Kaycee,Purple,60,Fall,45.56,Full Sun,Bi-weekly,Pink,53
Wolfgang,Yellow,64,Summer,23.77,Shade,Daily,Red,133
Bendix,Orange,37,Winter,58.5,Shade,Weekly,White,135
Rourke,Khaki,44,Winter,40.25,Full Sun,Weekly,Yellow,44
York,Puce,77,Spring,23.67,Full Sun,Weekly,Purple,157
Theda,Crimson,8,Winter,37.54,Full Sun,Weekly,Purple,23
Lynnet,Khaki,73,Spring,37.37,Full Sun,Daily,Yellow,52
Siana,Puce,10,Fall,22.14,Partial Sun,Daily,Purple,26
Emilie,Pink,39,Spring,58.11,Shade,Daily,Pink,63
Hermina,Yellow,38,Summer,37.13,Partial Sun,Bi-weekly,Purple,55
Jackquelin,Green,60,Summer,52.83,Partial Sun,Daily,Purple,95
Madalena,Violet,66,Spring,40.64,Partial Sun,Weekly,White,149
Eran,Purple,48,Summer,56.49,Partial Sun,Daily,Red,67
Alidia,Teal,46,Spring,47.47,Full Sun,Daily,Purple,88
Filia,Khaki,36,Fall,9.73,Full Sun,Daily,Pink,125
Wilek,Khaki,55,Summer,57.64,Shade,Daily,Red,169
Jody,Fuscia,100,Spring,43.19,Shade,Daily,Purple,101
Bron,Maroon,51,Fall,33.76,Partial Sun,Bi-weekly,Purple,175
Penny,Khaki,68,Spring,44.15,Shade,Daily,White,50
Arden,Red,69,Winter,51.7,Shade,Bi-weekly,Yellow,39
Kathryn,Teal,15,Winter,53.88,Full Sun,Weekly,White,184
Bartolemo,Khaki,69,Summer,13.91,Partial Sun,Bi-weekly,White,176
Wesley,Fuscia,78,Summer,33.3,Shade,Daily,Yellow,80
Amby,Indigo,30,Fall,56.75,Full Sun,Bi-weekly,White,183
Jaymee,Crimson,85,Fall,13.94,Partial Sun,Bi-weekly,Red,72
Josi,Pink,72,Summer,35.5,Partial Sun,Daily,Purple,88
Jocelin,Violet,31,Summer,7.77,Full Sun,Bi-weekly,White,146
Fowler,Violet,67,Summer,47.44,Partial Sun,Weekly,Yellow,166
Hannie,Turquoise,39,Winter,37.45,Shade,Bi-weekly,White,174
Dolorita,Crimson,10,Summer,57.78,Partial Sun,Daily,Purple,50
Rutherford,Crimson,91,Summer,59.78,Shade,Weekly,Yellow,18
Rutger,Blue,91,Winter,21.7,Full Sun,Bi-weekly,Purple,197
Leonora,Turquoise,72,Winter,39.86,Shade,Daily,Purple,69
Alanson,Teal,63,Summer,47.77,Partial Sun,Bi-weekly,Purple,100
Sarajane,Orange,35,Summer,53.92,Full Sun,Bi-weekly,Purple,158
Ag,Indigo,14,Spring,58.15,Partial Sun,Daily,Pink,76
Harry,Crimson,39,Winter,48.84,Partial Sun,Daily,Pink,75
Mandy,Green,17,Winter,23.18,Shade,Daily,Yellow,131
Antin,Puce,12,Spring,23.13,Partial Sun,Daily,Red,87
Garrott,Aquamarine,80,Winter,38.3,Full Sun,Weekly,Purple,146
Ulla,Mauv,37,Winter,29.93,Partial Sun,Daily,White,72
Brynna,Pink,24,Fall,25.31,Partial Sun,Bi-weekly,Yellow,160
Padraig,Aquamarine,47,Fall,31.92,Shade,Weekly,Yellow,71
Annabal,Violet,88,Winter,10.45,Full Sun,Daily,Purple,150
Francesca,Khaki,95,Summer,34.23,Shade,Daily,White,173
Marv,Maroon,8,Spring,39.75,Full Sun,Weekly,Pink,35
Alyss,Mauv,5,Fall,49.79,Full Sun,Weekly,Red,36
Kevyn,Crimson,76,Summer,55.64,Full Sun,Bi-weekly,White,190
Leila,Teal,58,Spring,49.01,Partial Sun,Bi-weekly,Red,172
Franky,Puce,55,Spring,36.25,Partial Sun,Weekly,Yellow,108
Vilhelmina,Turquoise,45,Spring,46.51,Full Sun,Bi-weekly,White,164
Maureene,Red,8,Fall,43.54,Partial Sun,Weekly,Red,84
Bernice,Turquoise,59,Summer,23.17,Shade,Weekly,White,48
Lorelle,Turquoise,27,Fall,8.47,Shade,Daily,Pink,118
Ursuline,Turquoise,11,Spring,50.22,Shade,Daily,Purple,200
Tova,Turquoise,30,Summer,44.43,Shade,Bi-weekly,Red,136
Florella,Purple,67,Winter,25.61,Shade,Bi-weekly,Red,123
Hugh,Green,85,Spring,23.9,Full Sun,Bi-weekly,Red,79
Madlen,Purple,69,Fall,48.01,Partial Sun,Daily,Yellow,136
Allina,Yellow,21,Spring,49.23,Shade,Daily,Pink,94
Kelcey,Pink,24,Fall,31.57,Partial Sun,Weekly,Purple,181
Gwenni,Violet,76,Spring,45.09,Shade,Daily,Yellow,79
Evy,Mauv,28,Spring,35.36,Partial Sun,Bi-weekly,Pink,99
Gwyn,Yellow,24,Summer,43.94,Full Sun,Bi-weekly,Yellow,115
Ebenezer,Turquoise,98,Fall,43.26,Shade,Bi-weekly,White,200
Lyndel,Purple,33,Summer,45.55,Full Sun,Weekly,Pink,59
Ursa,Pink,5,Summer,55.7,Full Sun,Weekly,Pink,81
Justus,Indigo,42,Fall,28.96,Partial Sun,Daily,Purple,33
Tani,Pink,70,Summer,23.49,Full Sun,Bi-weekly,Purple,150
Leonid,Yellow,13,Fall,27.98,Full Sun,Bi-weekly,Yellow,111
Arleta,Crimson,30,Summer,14.37,Shade,Daily,Yellow,56
Joyous,Crimson,38,Winter,25.98,Partial Sun,Weekly,White,63
Britt,Aquamarine,96,Winter,31.59,Partial Sun,Daily,Red,113
Arley,Green,9,Spring,8.17,Partial Sun,Bi-weekly,White,195
Katrinka,Purple,68,Winter,37.06,Partial Sun,Weekly,Purple,179
Dorrie,Yellow,47,Summer,21.09,Full Sun,Daily,Red,103
Guthrie,Teal,90,Spring,23.43,Shade,Weekly,Purple,186
Goldi,Khaki,16,Spring,20.3,Partial Sun,Bi-weekly,Red,66
Opalina,Fuscia,43,Summer,57.53,Partial Sun,Weekly,Red,16
Casie,Crimson,31,Winter,48.85,Full Sun,Weekly,Purple,161
Tracee,Crimson,91,Spring,25.48,Partial Sun,Weekly,Yellow,178
Callida,Pink,23,Winter,59.19,Full Sun,Daily,White,30
Lukas,Orange,70,Summer,34.37,Shade,Weekly,White,16
Sibelle,Red,45,Summer,57.98,Shade,Daily,Pink,38
Lela,Puce,39,Summer,59.41,Full Sun,Bi-weekly,Red,116
Olympe,Teal,33,Spring,52.16,Full Sun,Weekly,Pink,126
Magdalene,Aquamarine,95,Summer,59.3,Full Sun,Bi-weekly,Pink,163
Cammy,Blue,38,Winter,23.86,Full Sun,Daily,Red,112
Ancell,Crimson,53,Spring,11.82,Shade,Daily,Red,35
Ingemar,Pink,50,Spring,11.3,Shade,Weekly,Red,187
Halette,Pink,87,Fall,51.51,Full Sun,Bi-weekly,Pink,195
Bartram,Teal,75,Summer,18.24,Full Sun,Weekly,White,155
Bogart,Yellow,26,Fall,18.73,Full Sun,Daily,Red,68
Eleonore,Violet,70,Summer,22.82,Shade,Bi-weekly,Pink,76
Bendix,Violet,48,Fall,45.89,Shade,Weekly,Purple,134
Burgess,Green,60,Fall,23.27,Full Sun,Daily,White,157
Jasper,Maroon,50,Summer,19.32,Full Sun,Weekly,Red,115
Costanza,Pink,73,Winter,39.8,Shade,Weekly,Purple,162
Rodolph,Puce,70,Summer,57.48,Full Sun,Daily,Pink,165
Dyna,Indigo,86,Winter,10.95,Full Sun,Weekly,Pink,145
Candace,Teal,12,Fall,20.13,Shade,Daily,Purple,134
Halette,Purple,28,Summer,43.54,Partial Sun,Bi-weekly,Purple,87
Ceil,Fuscia,74,Winter,19.01,Full Sun,Bi-weekly,Red,113
Filberte,Indigo,30,Spring,47.06,Shade,Bi-weekly,Pink,69
Leanora,Goldenrod,57,Spring,45.81,Partial Sun,Bi-weekly,Purple,42
Farrand,Crimson,85,Summer,22.05,Partial Sun,Bi-weekly,White,173
Barbey,Goldenrod,25,Fall,9.57,Partial Sun,Bi-weekly,Yellow,15
Bartram,Indigo,21,Fall,59.77,Shade,Daily,Yellow,170
Yancey,Green,76,Fall,57.46,Full Sun,Bi-weekly,Yellow,68
Gannie,Indigo,94,Spring,42.54,Shade,Weekly,White,24
Mallorie,Red,92,Winter,29.77,Partial Sun,Bi-weekly,Purple,20
Connie,Turquoise,57,Spring,17.54,Full Sun,Bi-weekly,Yellow,27
Danya,Red,58,Fall,12.72,Full Sun,Daily,Purple,32
Field,Yellow,84,Winter,36.65,Shade,Weekly,Yellow,178
Kaycee,Puce,71,Summer,26.18,Shade,Bi-weekly,Red,167
Todd,Turquoise,21,Winter,29.23,Partial Sun,Weekly,White,154
Akim,Fuscia,52,Summer,51.68,Shade,Bi-weekly,Yellow,132
Derron,Goldenrod,93,Summer,22.56,Full Sun,Weekly,White,176
Trevor,Green,14,Fall,56.62,Shade,Daily,Yellow,86
Pablo,Yellow,46,Spring,22.22,Partial Sun,Weekly,Red,44
Alister,Yellow,86,Winter,58.61,Shade,Bi-weekly,Red,23
Tait,Mauv,43,Fall,31.68,Shade,Weekly,Pink,108
Jdavie,Goldenrod,64,Winter,14.25,Shade,Weekly,Red,62
Raul,Pink,69,Winter,15.88,Shade,Daily,Red,90
Adolf,Maroon,91,Winter,52.99,Shade,Weekly,Purple,126
Elana,Blue,75,Winter,42.23,Shade,Daily,Purple,128
Mae,Goldenrod,29,Spring,55.08,Partial Sun,Bi-weekly,Yellow,142
Lorilyn,Red,37,Winter,10.66,Full Sun,Bi-weekly,White,53
Kelley,Orange,45,Spring,22.52,Full Sun,Bi-weekly,Pink,33
Charmion,Khaki,30,Summer,57.96,Shade,Bi-weekly,Purple,181
Kaylil,Teal,79,Spring,6.4,Full Sun,Weekly,Pink,169
Hyacinth,Pink,32,Spring,35.91,Full Sun,Bi-weekly,Pink,54
Mauricio,Mauv,73,Spring,10.76,Shade,Weekly,Purple,72
Shelly,Aquamarine,53,Fall,56.75,Full Sun,Bi-weekly,White,174
Berti,Blue,19,Fall,58.49,Shade,Weekly,Pink,161
Earl,Yellow,71,Summer,41.04,Partial Sun,Bi-weekly,Yellow,18
Darrelle,Pink,50,Winter,58.79,Partial Sun,Weekly,Yellow,198
Portia,Orange,29,Summer,27.5,Full Sun,Weekly,Red,40
Maddy,Orange,93,Winter,29.01,Partial Sun,Weekly,Yellow,155
Allx,Red,57,Summer,30.02,Full Sun,Daily,Yellow,81
Nathanil,Crimson,40,Fall,52.78,Shade,Daily,Red,119
Ernestus,Green,97,Winter,21.01,Partial Sun,Daily,White,49
Rube,Crimson,10,Fall,12.42,Partial Sun,Bi-weekly,Pink,138
Aliza,Mauv,11,Summer,13.06,Partial Sun,Bi-weekly,Yellow,182
Corie,Khaki,50,Fall,27.2,Full Sun,Weekly,Red,88
Zacharia,Yellow,52,Fall,31.78,Partial Sun,Weekly,White,27
Randie,Purple,93,Fall,33.54,Partial Sun,Daily,Yellow,32
Thorpe,Khaki,40,Winter,54.35,Partial Sun,Daily,Red,127
Giselbert,Crimson,25,Spring,50.2,Partial Sun,Bi-weekly,Yellow,67
Raynor,Aquamarine,45,Fall,30.13,Partial Sun,Bi-weekly,Purple,86
Perri,Blue,75,Summer,55.8,Full Sun,Bi-weekly,Red,152
Bronnie,Teal,38,Winter,12.62,Partial Sun,Daily,White,162
Tarrance,Blue,93,Winter,32.98,Shade,Bi-weekly,Yellow,128
Robbie,Green,14,Summer,48.22,Partial Sun,Bi-weekly,Pink,182
Jewell,Fuscia,27,Winter,17.56,Shade,Bi-weekly,Yellow,199
Herby,Blue,68,Winter,34.94,Partial Sun,Weekly,Red,159
Reinaldos,Puce,98,Summer,52.42,Shade,Bi-weekly,Yellow,192
Waring,Orange,41,Fall,57.72,Partial Sun,Weekly,Purple,74
Flossi,Purple,53,Summer,39.47,Partial Sun,Bi-weekly,Yellow,19
Mayne,Violet,32,Summer,8.56,Shade,Bi-weekly,Red,165
Teddy,Maroon,59,Winter,9.19,Full Sun,Weekly,Red,60
Aubert,Green,92,Fall,28.52,Shade,Bi-weekly,Purple,36
Lavinie,Mauv,71,Spring,30.67,Full Sun,Daily,Purple,49
Kellen,Orange,42,Spring,30.77,Shade,Weekly,Yellow,123
Patrice,Turquoise,73,Spring,58.92,Partial Sun,Weekly,Purple,158
Sergio,Purple,79,Winter,12.35,Full Sun,Weekly,White,132
Enrika,Red,20,Summer,20.5,Full Sun,Bi-weekly,White,78
Bobbi,Indigo,62,Winter,38.33,Shade,Weekly,Yellow,190
Igor,Red,5,Spring,15.39,Shade,Bi-weekly,Purple,169
Obie,Violet,38,Spring,42.87,Shade,Daily,Pink,94
Clemens,Turquoise,39,Summer,51.42,Shade,Weekly,Yellow,153
Carmine,Blue,11,Fall,58.31,Shade,Bi-weekly,White,121
Alwin,Khaki,7,Summer,45.53,Full Sun,Weekly,Red,53
Amie,Crimson,32,Summer,36.39,Full Sun,Weekly,Pink,91
Noelle,Maroon,33,Fall,16.61,Shade,Bi-weekly,Yellow,184
Boycie,Puce,9,Fall,35.87,Full Sun,Weekly,Purple,40
Janet,Maroon,29,Winter,39.64,Full Sun,Daily,Pink,51
Lanny,Purple,79,Winter,7.31,Full Sun,Weekly,Yellow,42
Joceline,Yellow,73,Fall,6.6,Full Sun,Daily,White,173
Stanfield,Green,35,Fall,18.05,Shade,Bi-weekly,Purple,123
Britt,Khaki,99,Fall,8.14,Partial Sun,Weekly,Red,145
Kamila,Orange,94,Fall,52.32,Partial Sun,Bi-weekly,Yellow,63
Bone,Aquamarine,67,Summer,44.25,Partial Sun,Bi-weekly,Yellow,191
Jaclin,Red,26,Winter,17.72,Shade,Bi-weekly,White,116
Sofie,Blue,90,Spring,13.44,Shade,Bi-weekly,White,31
Heindrick,Aquamarine,10,Summer,13.83,Shade,Daily,Red,164
Myrtice,Mauv,94,Summer,9.88,Full Sun,Weekly,Red,125
Rey,Blue,90,Summer,46.69,Shade,Weekly,White,110
